,Course / Learning material,Source,Course Level,Type (Free or Paid),Module,"Module / Sub-module 
Difficulty level",Links,Keywords / Tags / Skills / Interests / Categories,Duration
119,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What are Gradient Boosted Decision Trees : Introduction,Medium to Hard,https://developers.google.com/machine-learning/decision-forests/intro-to-gbdt,"Decision Trees, Decision Forests, Random Forest, Gradient Boosting, shrinkage",2.0 minutes
120,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What are Gradient Boosted Decision Trees : The gradient boosting algorithm (optional),Medium to Hard,https://developers.google.com/machine-learning/decision-forests/gradient-boosting,"Gradient Boosting, Newton's Method",3.0 minutes
121,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What are Gradient Boosted Decision Trees : Overfitting and Regularization,Medium to Hard,https://developers.google.com/machine-learning/decision-forests/overfitting-gbdt,"Overfitting, Regularization, Early Stopping, Random Forest, Gradient Boosting, Decision Trees",5.0 minutes
122,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What did you learn ? : Course Summary,Medium to Hard,https://developers.google.com/machine-learning/decision-forests/summary,"Decision Trees, Decision Forests, Random Forest, Overfitting, Pruning, Regularization, Information Gain, Gini, Bagging, Gradient Boosting",2.0 minutes
123,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Recommendation Systems,Medium to Hard,https://developers.google.com/machine-learning/recommendation,"Machine Learning, Advance Machine Learning, Decision Trees, Neural Network, Recommendation System, Deep Neural Network, Deep Learning",4.0 hours
124,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Introduction,Easy,https://developers.google.com/machine-learning/recommendation,"Machine Learning, Advance Machine Learning, Recommendation System, Neural Network, Deep Learning",5.0 minutes
125,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Background,Medium to Hard,https://developers.google.com/machine-learning/recommendation/overview,"Recommendation System, Neural Network, Deep Learning",60.0 minutes
126,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Background : Large Scale Recommendation Systems,Easy,https://developers.google.com/machine-learning/recommendation/overview,"Recommendation System, Neural Network, Deep Learning",20.0 minutes
127,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Background : Terminolgy,Easy,https://developers.google.com/machine-learning/recommendation/overview/terminology,"Recommendation System, Neural Network, Deep Learning, Embedding, Query, Item",10.0 minutes
128,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Background : Recommendation Systems Overview,Medium to Hard,https://developers.google.com/machine-learning/recommendation/overview/types,"Recommendation System, Neural Network, Deep Learning, Candidate Generation, Scoring, Re-ranking",20.0 minutes
129,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Background : Check Your Understanding,Medium to Hard,https://developers.google.com/machine-learning/recommendation/overview/check-your-understanding,"Recommendation System, Neural Network, Deep Learning, Candidate Generation, Scoring, Re-ranking, Matrix Factorization, softmax",10.0 minutes
130,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Candidate Generation,Medium to Hard,https://developers.google.com/machine-learning/recommendation/overview/candidate-generation,"Recommendation System, Neural Network, Deep Learning, Candidate Generation, content based filtering, collaborative filtering, Embedding, Euclidean distance",20.0 minutes
131,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Content Based Filtering,Medium to Hard,https://developers.google.com/machine-learning/recommendation/content-based/basics,"Recommendation System, Neural Network, Deep Learning, Candidate Generation, content based filtering",25.0 minutes
132,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Content Based Filtering : Basics,Medium to Hard,https://developers.google.com/machine-learning/recommendation/content-based/basics,"Recommendation System, Neural Network, Deep Learning, Candidate Generation, content based filtering",15.0 minutes
133,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Content Based Filtering : Advantages & Disadvantages,Easy,https://developers.google.com/machine-learning/recommendation/content-based/summary,"Recommendation System, Neural Network, Deep Learning, Candidate Generation, content based filtering",10.0 minutes
134,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Collaborative Filtering and Matrix Factorization,Medium to Hard,https://developers.google.com/machine-learning/recommendation/collaborative/basics,"Recommendation System, Neural Network, Deep Learning, Candidate Generation, collaborative filtering, Embedding",135.0 minutes
135,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Collaborative Filtering and Matrix Factorization : Basics,Medium to Hard,https://developers.google.com/machine-learning/recommendation/collaborative/basics,"Recommendation System, Neural Network, Deep Learning, Candidate Generation, collaborative filtering, Embedding",15.0 minutes
136,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Collaborative Filtering and Matrix Factorization : Matrix Factorization,Medium to Hard,https://developers.google.com/machine-learning/recommendation/collaborative/matrix,"Recommendation System, Neural Network, Deep Learning, Candidate Generation, Embedding, Matrix Factorization, SVD, Single Value Decomposition,Stochastic gradient Descent, SGD, Weighted Alternating Least Sqaures, WALS",20.0 minutes
137,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Collaborative Filtering and Matrix Factorization : Advantages & Disadvantages,Medium to Hard,https://developers.google.com/machine-learning/recommendation/collaborative/summary,"Recommendation System, Neural Network, Deep Learning, Candidate Generation, collaborative filtering, Embedding, Matrix Factorization",10.0 minutes
138,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Collaborative Filtering and Matrix Factorization : Movie Recommendation System Exercise,Medium to Hard,https://developers.google.com/machine-learning/recommendation/labs/movie-rec-programming-exercise,"Recommendation System, Neural Network, Deep Learning, Candidate Generation, collaborative filtering, Embedding, Matrix Factorization",90.0 minutes
139,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Recommendation using Deep Neural Network,Medium to Hard,https://developers.google.com/machine-learning/recommendation/dnn/softmax,"Recommendation System, Neural Network, Deep Learning, Matrix Factorization, Softmax Model, softmax, Embedding",40.0 minutes
140,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Recommendation using Deep Neural Network : Softmax Model,Medium to Hard,https://developers.google.com/machine-learning/recommendation/dnn/softmax,"Recommendation System, Neural Network, Deep Learning, Matrix Factorization, Softmax Model, softmax, Embedding",20.0 minutes
141,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Recommendation using Deep Neural Network : Softmax Training,Medium to Hard,https://developers.google.com/machine-learning/recommendation/dnn/training,"Recommendation System, Neural Network, Deep Learning, Matrix Factorization, Softmax Model, softmax, Embedding",20.0 minutes
142,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,"Retrieval, Scoring & Re-ranking",Medium to Hard,https://developers.google.com/machine-learning/recommendation/dnn/retrieval,"Recommendation System, Neural Network, Deep Learning, Matrix Factorization, Softmax Model, softmax, Embedding, Retrieval",90.0 minutes
143,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,"Retrieval, Scoring & Re-ranking : Retrieval",Medium to Hard,https://developers.google.com/machine-learning/recommendation/dnn/retrieval,"Recommendation System, Neural Network, Deep Learning, Matrix Factorization, Softmax Model, softmax, Embedding, Retrieval",20.0 minutes
144,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,"Retrieval, Scoring & Re-ranking : Scoring",Medium to Hard,https://developers.google.com/machine-learning/recommendation/dnn/scoring,"Recommendation System, Neural Network, Deep Learning, Matrix Factorization, Softmax Model, softmax, Embedding, Retrieval, Scoring, bias",20.0 minutes
145,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,"Retrieval, Scoring & Re-ranking : Re-ranking",Medium to Hard,https://developers.google.com/machine-learning/recommendation/dnn/re-ranking,"Recommendation System, Neural Network, Deep Learning, Matrix Factorization, Softmax Model, softmax, Embedding, Retrieval, Scoring, bias, Re-ranking, fairness",20.0 minutes
146,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,"Retrieval, Scoring & Re-ranking : Softmax Exercise",Medium to Hard,https://developers.google.com/machine-learning/recommendation/labs/movie-rec-softmax-programming-exercise,"Recommendation System, Neural Network, Deep Learning, Matrix Factorization, Softmax Model, softmax, Embedding, Retrieval, Scoring, bias, Re-ranking, fairness",30.0 minutes
147,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Conclusion : Summary,Medium to Hard,https://developers.google.com/machine-learning/recommendation/summary,"Recommendation System, Neural Network, Deep Learning, Matrix Factorization, Softmax Model, softmax, Embedding, Retrieval, Scoring, bias, Re-ranking, fairness",10.0 minutes
148,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Clustering,Medium to Hard,https://developers.google.com/machine-learning/clustering,"Machine Learning, Advance Machine Learning, Neural Network, Clustering, Tensor Flow, k-Means",4.0 hours
149,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Overview,Medium to Hard,https://developers.google.com/machine-learning/clustering,"Machine Learning, Advance Machine Learning,Neural Network, Clustering, Tensor Flow, k-Means",40.0 minutes
150,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Overview : Clustering in Machine Learning,Easy,https://developers.google.com/machine-learning/clustering,"Machine Learning, Advance Machine Learning,Neural Network, Clustering, Tensor Flow, k-Means",10.0 minutes
151,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Overview : What is Clustering ?,Easy,https://developers.google.com/machine-learning/clustering/overview,"Machine Learning, Advance Machine Learning, Unsupervised Machine Learning, Segmentation, Classification, Neural Network, Clustering, Tensor Flow, k-Means",10.0 minutes
152,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Overview : Clustering Algorithms,Medium to Hard,https://developers.google.com/machine-learning/clustering/clustering-algorithms,"Machine Learning, Advance Machine Learning, Unsupervised Machine Learning, Segmentation, Classification, Neural Network, Clustering, Tensor Flow, k-Means,  centroid based, density based, distribution based, hierarchichal clustering, gaussian distribution ",20.0 minutes
