,Course / Learning material,Source,Course Level,Type (Free or Paid),Module,"Module / Sub-module 
Difficulty level",Links,Keywords / Tags / Skills / Interests / Categories,Duration
77,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Fairness,Easy to Medium,https://developers.google.com/machine-learning/crash-course/fairness/video-lecture,fairness,70.0 minutes
78,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Fairness - Types of Bias,Easy to Medium,https://developers.google.com/machine-learning/crash-course/fairness/types-of-bias,"fairness, bias, types",
79,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Fairness - Identifying Bias,Easy to Medium,https://developers.google.com/machine-learning/crash-course/fairness/identifying-bias,"fairness, identifying, bias",
80,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Fairness - Evaluating for Bias,Easy to Medium,https://developers.google.com/machine-learning/crash-course/fairness/evaluating-for-bias,"fairness, evualting, bias",
81,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Fairness - Programming Exercise,Easy to Medium,https://developers.google.com/machine-learning/crash-course/fairness/programming-exercise,fairness,
82,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Cancer Prediction - ML Systems in the Real World,Easy to Medium,https://developers.google.com/machine-learning/crash-course/cancer-prediction,"real world, cancer, prediction, ml system",5.0 minutes
83,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Literature - ML Systems in the Real World,Easy to Medium,https://developers.google.com/machine-learning/crash-course/18th-century-literature,"real world, literature, ml system",5.0 minutes
84,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Guidelines - ML Systems in the Real World,Easy to Medium,https://developers.google.com/machine-learning/crash-course/real-world-guidelines,"real world, guideline, ml system",2.0 minutes
85,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Glossary - Machine Learning Crash Course (Foundation),Easy to Medium,https://developers.google.com/machine-learning/glossary,"glossary, ml",
86,Problem Framing (ML related),Google Developers,Beginner to Intermediate,Free,Overview - Introduction to Machine Learning Problem Framing,Easy,https://developers.google.com/machine-learning/problem-framing,"ML Problems, sample,solution, machine, label",5.0 minutes
87,Problem Framing (ML related),Google Developers,Beginner to Intermediate,Free,Overview - Problem Framing,Medium,https://developers.google.com/machine-learning/problem-framing/problem-framing,"problem, framing, data, sample, approach, step, solution",5.0 minutes
88,Problem Framing (ML related),Google Developers,Beginner to Intermediate,Free,ML Problem Framing - Understanding the Problem,Medium,https://developers.google.com/machine-learning/problem-framing/problem,"data, ml, solution, dataset, user, prediction, prediction",25.0 minutes
89,Problem Framing (ML related),Google Developers,Beginner to Intermediate,Free,ML Problem Framing - Framing an ML problem,Medium,https://developers.google.com/machine-learning/problem-framing/ml-framing,"model, prediction, regression, metric, proxy, user, outcome ",15.0 minutes
90,Problem Framing (ML related),Google Developers,Beginner to Intermediate,Free,Conclusion - Implementing a model,Medium,https://developers.google.com/machine-learning/problem-framing/implement-model,"model, models, data, prediction, outcome, inference, ml, alert, server ",10.0 minutes
91,Problem Framing (ML related),Google Developers,Beginner to Intermediate,Free,Conclusion - Summary and next steps,Medium,https://developers.google.com/machine-learning/problem-framing/summary,"license, content, code, preference, oracle, developer, label",10.0 minutes
92,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Decision Forests,Medium to Hard,https://developers.google.com/machine-learning/decision-forests,"Machine Learning, Advance Machine Learning, Decision Trees, Neural Network, Decision Forests,Hyperparamters",2.0 hours
93,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What's in this Course ?,Easy,https://developers.google.com/machine-learning/decision-forests,"Decision Trees, Decision Forests, classification, regression, uplift modeling",5.0 minutes
94,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What's in this Course: Course Introduction,Easy,https://developers.google.com/machine-learning/decision-forests,"Decision Trees, Decision Forests, classification, regression, uplift modeling",2.0 minutes
95,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What's in this Course: Appropriate Data,Easy,https://developers.google.com/machine-learning/decision-forests/appropriate-data,"Decision Trees, Decision Forests, preprocessing, imputation",3.0 minutes
96,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What are Decision Trees ?,Medium to Hard,https://developers.google.com/machine-learning/decision-forests/decision-trees,"Decision Trees, Decision Forests, Random Forest, Split, Node",16.0 minutes
97,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What are Decision Trees: Overview,Medium to Hard,https://developers.google.com/machine-learning/decision-forests/decision-trees,"Decision Trees, Decision Forests, Random Forest, Split, Node",4.0 minutes
98,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What are Decision Trees: Conditions,Medium to Hard,https://developers.google.com/machine-learning/decision-forests/conditions,"Decision Trees, Decision Forests, Random Forest, Split, Node, Binary, Non-Binary, Axis Aligned, Oblique Condition",7.0 minutes
99,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,What are Decision Trees: Check Your Understanding,Medium to Hard,https://developers.google.com/machine-learning/decision-forests/decision-trees-mce,"Decision Trees, Decision Forests, Random Forest, Split, Node, Binary, Non-Binary, Axis Aligned, Oblique Condition",5.0 minutes
100,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,How do you train Decision Trees ?,Medium to Hard,https://developers.google.com/machine-learning/decision-forests/growing,"Decision Trees, Decision Forests, Random Forest, Split, Node, Information Gain, Gini, Shannon Entropy",47.0 minutes
101,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,How do you train Decision Trees : Growing Decision Trees,Medium to Hard,https://developers.google.com/machine-learning/decision-forests/growing,"Decision Trees, Decision Forests, Random Forest, Split, Node, Information Gain, Gini, Shannon Entropy",10.0 minutes
102,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,How do you train Decision Trees : Binary Classification,Medium to Hard,https://developers.google.com/machine-learning/decision-forests/binary-classification,"Decision Trees, Decision Forests, Random Forest, Split, Node, Information Gain, Gini, Shannon Entropy, Binary Classification",10.0 minutes
103,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,How do you train Decision Trees : Check Your Understanding,Medium to Hard,https://developers.google.com/machine-learning/decision-forests/training-mce,"Decision Trees, Decision Forests, Random Forest, Split, Node, Information Gain, Gini, Shannon Entropy, Binary Classification",5.0 minutes
104,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,How do you train Decision Trees : Overfitting and Pruning,Medium to Hard,https://developers.google.com/machine-learning/decision-forests/overfitting-and-pruning,"Decision Trees, Decision Forests, Random Forest, Split, Node, Overfitting, Pruning",7.0 minutes
105,Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,How do you train Decision Trees : Check Your Understanding,Medium to Hard,https://developers.google.com/machine-learning/decision-forests/overfitting-mce,"Decision Trees, Decision Forests, Random Forest, Split, Node, Overfitting, Pruning",5.0 minutes
