Course_Learning_Material,Source,Course_Level,Type,Module,Difficulty_Level,Keywords_Tags_Skills_Interests_Categories,Links,Duration_in_minutes
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Embeddings - Obtaining Embeddings,Medium,"embeddings, embeddings",https://developers.google.com/machine-learning/crash-course/embeddings/obtaining-embeddings,
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Production ML Systems,Medium,"production, ml systems",https://developers.google.com/machine-learning/crash-course/production-ml-systems,3
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Static versus Dynamic training,Medium,"statis, dynamic, training",https://developers.google.com/machine-learning/crash-course/static-vs-dynamic-training/video-lecture,7
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Static versus Dynamic inferencing,Medium,"statis, dynamic, inferencing",https://developers.google.com/machine-learning/crash-course/static-vs-dynamic-inference/video-lecture,7
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Data Dependencies,Medium,"data, dependencies",https://developers.google.com/machine-learning/crash-course/data-dependencies/video-lecture,14
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Fairness,Medium,fairness,https://developers.google.com/machine-learning/crash-course/fairness/video-lecture,70
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Fairness - Types of Bias,Medium,"fairness, bias, types",https://developers.google.com/machine-learning/crash-course/fairness/types-of-bias,
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Fairness - Identifying Bias,Medium,"fairness, identifying, bias",https://developers.google.com/machine-learning/crash-course/fairness/identifying-bias,
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Fairness - Evaluating for Bias,Medium,"fairness, evualting, bias",https://developers.google.com/machine-learning/crash-course/fairness/evaluating-for-bias,
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Fairness - Programming Exercise,Medium,fairness,https://developers.google.com/machine-learning/crash-course/fairness/programming-exercise,
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Cancer Prediction - ML Systems in the Real World,Medium,"real world, cancer, prediction, ml systems",https://developers.google.com/machine-learning/crash-course/cancer-prediction,5
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Literature - ML Systems in the Real World,Medium,"real world, literature, ml systems",https://developers.google.com/machine-learning/crash-course/18th-century-literature,5
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Guidelines - ML Systems in the Real World,Medium,"real world, guidelines, ml systems",https://developers.google.com/machine-learning/crash-course/real-world-guidelines,2
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Glossary - Machine Learning Crash Course (Foundation),Medium,"glossary, machine learning",https://developers.google.com/machine-learning/glossary,
Problem Framing (ML related),Google Developers,Intermediate,Free,Overview - Introduction to Machine Learning Problem Framing,Easy,"ML Problems, samples,solution, machine, label",https://developers.google.com/machine-learning/problem-framing,5
Problem Framing (ML related),Google Developers,Intermediate,Free,Overview - Problem Framing,Medium,"problems, framing, data, samples, approach, steps, solution",https://developers.google.com/machine-learning/problem-framing/problem-framing,5
Problem Framing (ML related),Google Developers,Intermediate,Free,ML Problem Framing - Understanding the Problem,Medium,"data, ml, solution, dataset, user, prediction, predictions",https://developers.google.com/machine-learning/problem-framing/problem,25
Problem Framing (ML related),Google Developers,Intermediate,Free,ML Problem Framing - Framing an ML problem,Medium,"model, prediction, regression, metrics, proxy, users, outcome ",https://developers.google.com/machine-learning/problem-framing/ml-framing,15
Problem Framing (ML related),Google Developers,Intermediate,Free,Conclusion - Implementing a model,Medium,"model, models, data, prediction, outcome, inference, ml, alert, server ",https://developers.google.com/machine-learning/problem-framing/implement-model,10
Problem Framing (ML related),Google Developers,Intermediate,Free,Conclusion - Summary and next steps,Medium,"licence, content, code, preference, oracle, developers, label",https://developers.google.com/machine-learning/problem-framing/summary,10
Machine Learning Advance Courses,Google Developers,Advanced,Free,Decision Forests,Hard,"Machine Learning, Advance Machine Learning, Decision Trees, Neural Network, Decision Forests,Hyperparamters",https://developers.google.com/machine-learning/decision-forests,120
Machine Learning Advance Courses,Google Developers,Advanced,Free,What's in this Course ?,Easy,"Decision Trees, Decision Forests, classification, regression, uplift modeling",https://developers.google.com/machine-learning/decision-forests,5
Machine Learning Advance Courses,Google Developers,Advanced,Free,What's in this Course: Course Introduction,Easy,"Decision Trees, Decision Forests, classification, regression, uplift modeling",https://developers.google.com/machine-learning/decision-forests,2
Machine Learning Advance Courses,Google Developers,Advanced,Free,What's in this Course: Appropriate Data,Easy,"Decision Trees, Decision Forests, preprocessing, imputation",https://developers.google.com/machine-learning/decision-forests/appropriate-data,3
Machine Learning Advance Courses,Google Developers,Advanced,Free,What are Decision Trees ?,Hard,"Decision Trees, Decision Forests, Random Forest, Split, Node",https://developers.google.com/machine-learning/decision-forests/decision-trees,16
Machine Learning Advance Courses,Google Developers,Advanced,Free,What are Decision Trees: Overview,Hard,"Decision Trees, Decision Forests, Random Forest, Split, Node",https://developers.google.com/machine-learning/decision-forests/decision-trees,4
Machine Learning Advance Courses,Google Developers,Advanced,Free,What are Decision Trees: Conditions,Hard,"Decision Trees, Decision Forests, Random Forest, Split, Node, Binary, Non-Binary, Axis Aligned, Oblique Condition",https://developers.google.com/machine-learning/decision-forests/conditions,7
Machine Learning Advance Courses,Google Developers,Advanced,Free,What are Decision Trees: Check Your Understanding,Hard,"Decision Trees, Decision Forests, Random Forest, Split, Node, Binary, Non-Binary, Axis Aligned, Oblique Condition",https://developers.google.com/machine-learning/decision-forests/decision-trees-mce,5
Machine Learning Advance Courses,Google Developers,Advanced,Free,How do you train Decision Trees ?,Hard,"Decision Trees, Decision Forests, Random Forest, Split, Node, Information Gain, Gini, Shannon Entropy",https://developers.google.com/machine-learning/decision-forests/growing,47
Machine Learning Advance Courses,Google Developers,Advanced,Free,How do you train Decision Trees : Growing Decision Trees,Hard,"Decision Trees, Decision Forests, Random Forest, Split, Node, Information Gain, Gini, Shannon Entropy",https://developers.google.com/machine-learning/decision-forests/growing,10
Machine Learning Advance Courses,Google Developers,Advanced,Free,How do you train Decision Trees : Binary Classification,Hard,"Decision Trees, Decision Forests, Random Forest, Split, Node, Information Gain, Gini, Shannon Entropy, Binary Classification",https://developers.google.com/machine-learning/decision-forests/binary-classification,10
Machine Learning Advance Courses,Google Developers,Advanced,Free,How do you train Decision Trees : Check Your Understanding,Hard,"Decision Trees, Decision Forests, Random Forest, Split, Node, Information Gain, Gini, Shannon Entropy, Binary Classification",https://developers.google.com/machine-learning/decision-forests/training-mce,5
Machine Learning Advance Courses,Google Developers,Advanced,Free,How do you train Decision Trees : Overfitting and Pruning,Hard,"Decision Trees, Decision Forests, Random Forest, Split, Node, Overfitting, Pruning",https://developers.google.com/machine-learning/decision-forests/overfitting-and-pruning,7
Machine Learning Advance Courses,Google Developers,Advanced,Free,How do you train Decision Trees : Check Your Understanding,Hard,"Decision Trees, Decision Forests, Random Forest, Split, Node, Overfitting, Pruning",https://developers.google.com/machine-learning/decision-forests/overfitting-mce,5
Machine Learning Advance Courses,Google Developers,Advanced,Free,How do you train Decision Trees : Variable Importances,Hard,"Decision Trees, Decision Forests, Random Forest, Split, Node, variiable importance, feature importance",https://developers.google.com/machine-learning/decision-forests/variable-importances,5
Machine Learning Advance Courses,Google Developers,Advanced,Free,How do you train Decision Trees : Check Your Understanding,Hard,"Decision Trees, Decision Forests, Random Forest, Split, Node, variable importance, feature importance",https://developers.google.com/machine-learning/decision-forests/variable-importances-mce,5
Machine Learning Advance Courses,Google Developers,Advanced,Free,A Decision Tree Example,Hard,"Decision Trees, Split, Node, Information Gain, Gini, Shannon Entropy, Binary Classification",https://developers.google.com/machine-learning/decision-forests/practice,5
Machine Learning Advance Courses,Google Developers,Advanced,Free,A Decision Tree Example: A full example,Hard,"Decision Trees, Split, Node, Information Gain, Gini, Shannon Entropy, Binary Classification",https://developers.google.com/machine-learning/decision-forests/practice,5
Machine Learning Advance Courses,Google Developers,Advanced,Free,What are Decision Forests ?,Hard,"Decision Forests, Random Forest",https://developers.google.com/machine-learning/decision-forests/intro-to-decision-forests-real,2
Machine Learning Advance Courses,Google Developers,Advanced,Free,What are Decision Forests : Introduction,Hard,"Decision Forests, Random Forest",https://developers.google.com/machine-learning/decision-forests/intro-to-decision-forests-real,2
Machine Learning Advance Courses,Google Developers,Advanced,Free,What are Random Forests ?,Hard,"Random Forest, Split, Node, Information Gain, Gini, Shannon Entropy, Binary Classification",https://developers.google.com/machine-learning/decision-forests/intro-to-decision-forests,22
Machine Learning Advance Courses,Google Developers,Advanced,Free,What are Random Forests : Introduction,Hard,"Random Forest, Split, Node, Information Gain, Gini, Shannon Entropy, Binary Classification",https://developers.google.com/machine-learning/decision-forests/intro-to-decision-forests,2
Machine Learning Advance Courses,Google Developers,Advanced,Free,What are Random Forests : Random Forests,Hard,"Random Forest, Ensemble, Bagging, Bootstrap, Attribute Sampling, regularization, pruning",https://developers.google.com/machine-learning/decision-forests/random-forests,8
Machine Learning Advance Courses,Google Developers,Advanced,Free,What are Random Forests : Check Your Understanding,Hard,"Random Forest, Ensemble, Bagging, Bootstrap, Attribute Sampling, regularization, pruning",https://developers.google.com/machine-learning/decision-forests/random-forests-mce,5
Machine Learning Advance Courses,Google Developers,Advanced,Free,What are Random Forests : Out-of-bag Evaluation,Hard,"Random Forest, Ensemble, Out-of-bag Evaluation, obb evaluation, TF-DF",https://developers.google.com/machine-learning/decision-forests/out-of-bag,5
Machine Learning Advance Courses,Google Developers,Advanced,Free,What are Random Forests : Other topics,Hard,"Random Forest, Ensemble, Out-of-bag Evaluation, obb evaluation, TF-DF, Intrepretation, SHAP, SHapley Additive Explainations",https://developers.google.com/machine-learning/decision-forests/other-topics,2
Machine Learning Advance Courses,Google Developers,Advanced,Free,What are Gradient Boosted Decision Trees ?,Hard,"Decision Trees, Decision Forests, Random Forest, Gradient Boosting, shrinkage",https://developers.google.com/machine-learning/decision-forests/intro-to-gbdt,10
Machine Learning Advance Courses,Google Developers,Advanced,Free,What are Gradient Boosted Decision Trees : Introduction,Hard,"Decision Trees, Decision Forests, Random Forest, Gradient Boosting, shrinkage",https://developers.google.com/machine-learning/decision-forests/intro-to-gbdt,2
Machine Learning Advance Courses,Google Developers,Advanced,Free,What are Gradient Boosted Decision Trees : The gradient boosting algorithm (optional),Hard,"Gradient Boosting, Newton's Method",https://developers.google.com/machine-learning/decision-forests/gradient-boosting,3
Machine Learning Advance Courses,Google Developers,Advanced,Free,What are Gradient Boosted Decision Trees : Overfitting and Regularization,Hard,"Overfitting, Regularization, Early Stopping, Random Forest, Gradient Boosting, Decision Trees",https://developers.google.com/machine-learning/decision-forests/overfitting-gbdt,5
Machine Learning Advance Courses,Google Developers,Advanced,Free,What did you learn ? : Course Summary,Hard,"Decision Trees, Decision Forests, Random Forest, Overfitting, Pruning, Regularization, Information Gain, Gini, Bagging, Gradient Boosting",https://developers.google.com/machine-learning/decision-forests/summary,2
Machine Learning Advance Courses,Google Developers,Advanced,Free,Recommendation Systems,Hard,"Machine Learning, Advance Machine Learning, Decision Trees, Neural Network, Recommendation System, Deep Neural Network, Deep Learning",https://developers.google.com/machine-learning/recommendation,240
Machine Learning Advance Courses,Google Developers,Advanced,Free,Introduction,Easy,"Machine Learning, Advance Machine Learning, Recommendation System, Neural Network, Deep Learning",https://developers.google.com/machine-learning/recommendation,5
